outer,inner,selector,k,features,model,calibration,params,brier_valid
1,1,unknown_selector,-1,"[""relative risk"", ""QRISK3"", ""ЭХО ЗС перед ТП"", ""ЭХО СДЛА перед ТП""]",logreg,none,"{""clf__C"": 0.1}",0.20654156603062607
1,1,unknown_selector,-1,"[""relative risk"", ""QRISK3"", ""ЭХО ЗС перед ТП"", ""ЭХО СДЛА перед ТП""]",xgb,none,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 3, ""clf__n_estimators"": 100}",0.10514648226345943
1,1,unknown_selector,-1,"[""relative risk"", ""QRISK3"", ""ЭХО ЗС перед ТП"", ""ЭХО СДЛА перед ТП""]",mlp,none,"{""clf__alpha"": 0.001, ""clf__hidden_layer_sizes"": [32]}",0.19163801260552796
1,2,unknown_selector,-1,"[""relative risk"", ""ЭХО ЗС перед ТП"", ""ЛПНП перед ТП"", ""Диагноз""]",logreg,none,"{""clf__C"": 0.1}",0.1623131898950794
1,2,unknown_selector,-1,"[""relative risk"", ""ЭХО ЗС перед ТП"", ""ЛПНП перед ТП"", ""Диагноз""]",xgb,none,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 3, ""clf__n_estimators"": 100}",0.16550368707329913
1,2,unknown_selector,-1,"[""relative risk"", ""ЭХО ЗС перед ТП"", ""ЛПНП перед ТП"", ""Диагноз""]",mlp,none,"{""clf__alpha"": 0.001, ""clf__hidden_layer_sizes"": [64, 32]}",0.21465035942168476
1,3,unknown_selector,-1,"[""relative risk"", ""ЭХО ЗС перед ТП""]",logreg,none,"{""clf__C"": 0.1}",0.1429990110894026
1,3,unknown_selector,-1,"[""relative risk"", ""ЭХО ЗС перед ТП""]",xgb,none,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 3, ""clf__n_estimators"": 100}",0.08668962228522177
1,3,unknown_selector,-1,"[""relative risk"", ""ЭХО ЗС перед ТП""]",mlp,none,"{""clf__alpha"": 0.001, ""clf__hidden_layer_sizes"": [64, 32]}",0.23313848895288442
1,4,unknown_selector,-1,"[""relative risk"", ""ЭХО ЛП перед ТП"", ""Диагноз"", ""САД перед ТП"", ""ЭХО МЖП перед ТП""]",logreg,none,"{""clf__C"": 0.1}",0.22337880612622987
1,4,unknown_selector,-1,"[""relative risk"", ""ЭХО ЛП перед ТП"", ""Диагноз"", ""САД перед ТП"", ""ЭХО МЖП перед ТП""]",xgb,none,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 3, ""clf__n_estimators"": 50}",0.23778099830334937
1,4,unknown_selector,-1,"[""relative risk"", ""ЭХО ЛП перед ТП"", ""Диагноз"", ""САД перед ТП"", ""ЭХО МЖП перед ТП""]",mlp,none,"{""clf__alpha"": 0.001, ""clf__hidden_layer_sizes"": [32]}",0.2071812131360359
1,5,unknown_selector,-1,"[""relative risk"", ""ЭХО СДЛА перед ТП"", ""САД перед ТП"", ""ЭХО ЗС перед ТП""]",logreg,none,"{""clf__C"": 0.1}",0.2119940432330362
1,5,unknown_selector,-1,"[""relative risk"", ""ЭХО СДЛА перед ТП"", ""САД перед ТП"", ""ЭХО ЗС перед ТП""]",xgb,none,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 3, ""clf__n_estimators"": 50}",0.2092363600899514
1,5,unknown_selector,-1,"[""relative risk"", ""ЭХО СДЛА перед ТП"", ""САД перед ТП"", ""ЭХО ЗС перед ТП""]",mlp,none,"{""clf__alpha"": 0.001, ""clf__hidden_layer_sizes"": [32]}",0.2246519808796442
2,1,unknown_selector,-1,"[""relative risk"", ""ЭХО ЛП перед ТП"", ""ЛПНП перед ТП"", ""Диагноз"", ""ЭХО ЗС перед ТП"", ""ОТТ перед ТП"", ""Пол""]",logreg,none,"{""clf__C"": 0.1}",0.1298814352945762
2,1,unknown_selector,-1,"[""relative risk"", ""ЭХО ЛП перед ТП"", ""ЛПНП перед ТП"", ""Диагноз"", ""ЭХО ЗС перед ТП"", ""ОТТ перед ТП"", ""Пол""]",xgb,none,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 3, ""clf__n_estimators"": 100}",0.10808090975442472
2,1,unknown_selector,-1,"[""relative risk"", ""ЭХО ЛП перед ТП"", ""ЛПНП перед ТП"", ""Диагноз"", ""ЭХО ЗС перед ТП"", ""ОТТ перед ТП"", ""Пол""]",mlp,none,"{""clf__alpha"": 0.0001, ""clf__hidden_layer_sizes"": [32]}",0.23640190462739033
2,2,unknown_selector,-1,"[""relative risk"", ""ЛПНП перед ТП"", ""стадия ХСН перед ТП"", ""ЭХО СДЛА перед ТП""]",logreg,none,"{""clf__C"": 0.1}",0.19364967640582664
2,2,unknown_selector,-1,"[""relative risk"", ""ЛПНП перед ТП"", ""стадия ХСН перед ТП"", ""ЭХО СДЛА перед ТП""]",xgb,none,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 3, ""clf__n_estimators"": 100}",0.17260087216910466
2,2,unknown_selector,-1,"[""relative risk"", ""ЛПНП перед ТП"", ""стадия ХСН перед ТП"", ""ЭХО СДЛА перед ТП""]",mlp,none,"{""clf__alpha"": 0.001, ""clf__hidden_layer_sizes"": [32]}",0.19977562480182773
2,3,unknown_selector,-1,"[""relative risk"", ""ЛПНП перед ТП"", ""Пол"", ""Диагноз"", ""ЭХО ЗС перед ТП""]",logreg,none,"{""clf__C"": 0.1}",0.1355662589763156
2,3,unknown_selector,-1,"[""relative risk"", ""ЛПНП перед ТП"", ""Пол"", ""Диагноз"", ""ЭХО ЗС перед ТП""]",xgb,none,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 3, ""clf__n_estimators"": 100}",0.11159186198519615
2,3,unknown_selector,-1,"[""relative risk"", ""ЛПНП перед ТП"", ""Пол"", ""Диагноз"", ""ЭХО ЗС перед ТП""]",mlp,none,"{""clf__alpha"": 0.0001, ""clf__hidden_layer_sizes"": [64, 32]}",0.21227701053928374
2,4,unknown_selector,-1,"[""relative risk"", ""ЭХО ЛП перед ТП"", ""Диагноз"", ""ОТТ перед ТП"", ""ЭХО МЖП перед ТП"", ""ЭХО ЗС перед ТП"", ""Пол""]",logreg,none,"{""clf__C"": 0.1}",0.1776408097886812
2,4,unknown_selector,-1,"[""relative risk"", ""ЭХО ЛП перед ТП"", ""Диагноз"", ""ОТТ перед ТП"", ""ЭХО МЖП перед ТП"", ""ЭХО ЗС перед ТП"", ""Пол""]",xgb,none,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 3, ""clf__n_estimators"": 100}",0.1437588346753027
2,4,unknown_selector,-1,"[""relative risk"", ""ЭХО ЛП перед ТП"", ""Диагноз"", ""ОТТ перед ТП"", ""ЭХО МЖП перед ТП"", ""ЭХО ЗС перед ТП"", ""Пол""]",mlp,none,"{""clf__alpha"": 0.0001, ""clf__hidden_layer_sizes"": [64, 32]}",0.22298836644513056
2,5,unknown_selector,-1,"[""relative risk"", ""ЛПНП перед ТП"", ""Диагноз"", ""ЭХО ЗС перед ТП"", ""ЭХО ЛП перед ТП"", ""Мочевая кислота перед ТП""]",logreg,none,"{""clf__C"": 0.1}",0.16619295867666442
2,5,unknown_selector,-1,"[""relative risk"", ""ЛПНП перед ТП"", ""Диагноз"", ""ЭХО ЗС перед ТП"", ""ЭХО ЛП перед ТП"", ""Мочевая кислота перед ТП""]",xgb,none,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 3, ""clf__n_estimators"": 100}",0.12672590778114481
2,5,unknown_selector,-1,"[""relative risk"", ""ЛПНП перед ТП"", ""Диагноз"", ""ЭХО ЗС перед ТП"", ""ЭХО ЛП перед ТП"", ""Мочевая кислота перед ТП""]",mlp,none,"{""clf__alpha"": 0.0001, ""clf__hidden_layer_sizes"": [64, 32]}",0.1914265197006523
3,1,unknown_selector,-1,"[""relative risk"", ""ЛПНП перед ТП"", ""ЭХО ЛП перед ТП"", ""Диагноз"", ""САД перед ТП""]",logreg,none,"{""clf__C"": 0.1}",0.15019879866173358
3,1,unknown_selector,-1,"[""relative risk"", ""ЛПНП перед ТП"", ""ЭХО ЛП перед ТП"", ""Диагноз"", ""САД перед ТП""]",xgb,none,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 3, ""clf__n_estimators"": 100}",0.13160452170986522
3,1,unknown_selector,-1,"[""relative risk"", ""ЛПНП перед ТП"", ""ЭХО ЛП перед ТП"", ""Диагноз"", ""САД перед ТП""]",mlp,none,"{""clf__alpha"": 0.0001, ""clf__hidden_layer_sizes"": [32]}",0.19491105809846995
3,2,unknown_selector,-1,"[""ЛПНП перед ТП"", ""relative risk"", ""ЭХО ЛП перед ТП"", ""Диагноз"", ""ЭХО ЗС перед ТП"", ""ЭХО МЖП перед ТП""]",logreg,none,"{""clf__C"": 0.1}",0.1757303343885606
3,2,unknown_selector,-1,"[""ЛПНП перед ТП"", ""relative risk"", ""ЭХО ЛП перед ТП"", ""Диагноз"", ""ЭХО ЗС перед ТП"", ""ЭХО МЖП перед ТП""]",xgb,none,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 3, ""clf__n_estimators"": 100}",0.14943158114059185
